Rank,TeamId,TeamName,LastSubmissionDate,Score,SubmissionCount,TeamMemberUserNames
1,11959461,"Devin Rilis Wktnya Ternak Lele","2024-04-16 19:19:51",0.80325,2,"belati,faizassabilfirdaus,kaizee1"
2,11960605,FVZ,"2024-04-17 11:12:01",0.77594,2,"muhammadfariselsyad,radityaarviandana,zidanqrs"
3,11959597,Aphrodite,"2024-04-17 05:35:35",0.77247,3,"marcellchristianf,zzazazlal"
4,11959626,"AI Geniuses","2024-04-17 07:35:46",0.76869,2,"jemmyfebryan,meiridakarismaputri,zalmageran"
5,11960493,"Kumaha Daming","2024-04-17 13:26:39",0.76330,2,"fahmiagungmaulana,muhammadnaufalhawari"
6,11961491,Ntahlah,"2024-04-17 11:19:49",0.75652,2,"kevinliong,stanleyyy134,stynw7"
7,11959462,"AW Boys","2024-04-17 05:46:38",0.75437,3,"duaks3rifqiramadhan,firhandkamal,muhamadferiyanto"
8,11962575,"Es Teh Anget Reborn","2024-04-17 13:50:29",0.74701,2,"farhanrahmansyah,firmnnm,rafinas"
9,11959467,Kanan,"2024-04-17 13:10:02",0.74630,1,"abiyyuanel,adnanhafizhsinatria,nurkahfiarahmada"
10,11960885,"agustus wisuda","2024-04-17 11:43:00",0.74539,2,"ahmadzein,faiqrsd,frhannmf"
11,11959491,TemporalFusion,"2024-04-17 11:14:36",0.73850,1,felixp05
12,11963137,SIGMA,"2024-04-17 13:09:35",0.73652,2,"hayosiapa,helmaliasf"
13,11961152,"Barudak Padjadjaran","2024-04-17 11:16:25",0.73597,1,"danishrahadian,hafizhfadhlmuhammad,luthfiarsd"
14,11959593,"Titik Koma","2024-04-17 10:39:03",0.73508,1,"alfthrpy,nabilalailatanzila,rizaanwarfadil"
15,11961303,Links,"2024-04-17 13:45:30",0.73434,2,"hidaree,pramodiasuka,yuveex"
16,11959785,NixU,"2024-04-17 01:05:21",0.73260,1,farrellhabibie
17,11959586,LabtekV,"2024-04-17 10:33:16",0.72928,1,"fathurwithyou,guntarahambali,ryonlunar"
18,11959504,"Kerbau Masuk Parit","2024-04-17 06:15:09",0.72608,4,"halimsajidi,mmumtazsakho,sugihpratamanugraha"
19,11963960,"just ASK","2024-04-17 11:52:42",0.72262,2,"adhkaraa,anisabintangmaharani,sylviahamidah"
20,11960827,"Apa dong ini","2024-04-17 07:05:30",0.72208,1,"bintangfajar26,fachrikid,mrayhannurupi"
21,11960645,"Tukang Data","2024-04-17 09:00:58",0.72190,3,"andikariskysururi,muhammadnafiz,rafifabian"
22,11959500,"Biasa Aja","2024-04-17 11:43:30",0.72171,2,"antoniusyabes,davidcode1,valentinoruslam"
23,11959771,"Black Eagle","2024-04-16 19:14:37",0.71412,1,"edberthalim,patricksamuelevans"
24,11962196,Akranes,"2024-04-17 13:09:07",0.70663,1,hilmireza
25,11960179,ByeBye,"2024-04-17 07:52:07",0.70020,2,"arvinantobahtiar,latiefabdul,rakuzai"
26,11961958,"bntr y lg diskusi","2024-04-17 06:04:23",0.69772,1,jeksy12
27,11959740,"Kereta Uji","2024-04-16 21:36:03",0.68597,1,"dinalestari,fadilirsyadmuhammad"
28,11961555,STG21,"2024-04-17 08:26:55",0.67681,2,"billycemerson,hajranazbytama,muhammadgoldy"
29,11960367,Happykids,"2024-04-17 07:56:02",0.66930,2,"althafnawadir,andhikarafilazuardi,hilalrosyidputra"
30,11962174,Klakon,"2024-04-17 06:20:58",0.46328,2,"hasnadaffa,ismaputri,sintiaranifp"
31,11959495,Databender,"2024-04-16 23:58:21",0.28636,1,"abrahamsamudra,auvarifqi,xmrizz"
32,11961355,"Kotak Riset SC","2024-04-17 08:10:55",0.22862,1,"ferdiannugraha,louiswidi"
33,11961321,Apocalypse,"2024-04-17 08:30:52",0.21675,1,"agungmalikibrahim,egydestf,fitosatrio"
34,11959479,IRISXRajaibelis,"2024-04-16 18:57:31",0.18870,2,"presidiumiiifebrio,zoenyokhanansianipar"
35,11960698,"Jadi Lomba Gak?","2024-04-16 23:50:56",0.03260,1,"ahmadjawahirulislami,yasinhakim"
36,11961396,Enigma,"2024-04-17 02:41:02",0.02646,1,"minhajulkhairi,rasyadbimasatya"
